ticker,map_crypto_type,map_crypto_underlier
BTC US,Spot Single Asset,BTC only
ETH US,Spot Single Asset,alt-coin only (ETH)
ETHW US,Spot Single Asset,alt-coin only (ETH)
BITQ US,Equity,multi-token crypto
ETHV US,Spot Single Asset,alt-coin only (ETH)
FDIG US,Equity,multi-token crypto
BTCW US,Spot Single Asset,BTC only
STCE US,Equity,multi-token crypto
WGMI US,Equity,BTC only
NCIQ US,Spot Multi-asset; passive,multi-token crypto
CRPT US,Equity,multi-token crypto
EETH US,Derivatives-based; futures-based,alt-coin only (ETH)
EZET US,Spot Single Asset,alt-coin only (ETH)
SPBC US,Hybrid (spot/multi + derivatives),crypto + traditional asset
HECO US,Hybrid (spot/multi + derivatives),multi-token crypto
MAXI US,Derivatives-based; income,BTC only
BTF US,Derivatives-based; futures-based,multi-token crypto
BITS US,Hybrid (spot/multi + derivatives),multi-token crypto
TETH US,Spot Single Asset,alt-coin only (ETH)
NODE US,Equity,multi-token crypto
BITC US,Derivatives-based; futures-based,crypto + traditional asset
BETH US,Derivatives-based; futures-based,multi-token crypto
FMKT US,Hybrid (spot/multi + derivatives),crypto + traditional asset
BETE US,Derivatives-based; futures-based,multi-token crypto
SATO US,Equity,multi-token crypto
DECO US,Hybrid (spot/multi + derivatives),multi-token crypto
AETH US,Derivatives-based; futures-based,crypto + traditional asset
BTRN US,Derivatives-based; futures-based,BTC only
BBB US,Hybrid (spot/multi + derivatives),crypto + traditional asset
MNRS US,Equity,BTC only
BTOP US,Derivatives-based; futures-based,crypto + traditional asset
WTIP US,Hybrid (spot/multi + derivatives),crypto + traditional asset
HBTC US,Derivatives-based; futures-based,BTC only
OOSB US,Hybrid (spot/multi + derivatives),crypto + traditional asset
SOLZ US,Spot Single Asset,alt-coin only (SOL)
DOJE US,Spot Single Asset,alt-coin only (DOGE)
XRPI US,Spot Single Asset,alt-coin only (XRP)
BCHG US,Spot Single Asset,alt-coin only (BCH)
BITW US,Spot Multi-asset; passive,multi-token crypto
BTCFX US,Derivatives-based; futures-based,BTC only
LTCN US,Spot Single Asset,alt-coin only (LTC)
DEFG US,Spot Multi-asset; thematic,multi-token crypto
MANA US,Spot Single Asset,alt-coin only (MANA)
DIME US,Spot Multi-asset; thematic,multi-token crypto
TXBC US,Spot Multi-asset; passive,multi-token crypto
TTOP US,Spot Multi-asset; passive,multi-token crypto
STBQ US,Equity,multi-token crypto
TKNQ US,Equity,multi-token crypto
OOQB US,Hybrid (spot/multi + derivatives),crypto + traditional asset
IBIT US,Spot Single Asset,BTC only
ETHA US,Spot Single Asset,alt-coin only (ETH)
FBTC US,Spot Single Asset,BTC only
GBTC US,Spot Single Asset,BTC only
ARKB US,Spot Single Asset,BTC only
ETHE US,Spot Single Asset,alt-coin only (ETH)
BITB US,Spot Single Asset,BTC only
FETH US,Spot Single Asset,alt-coin only (ETH)
BITO US,Derivatives-based; futures-based,BTC only
HODL US,Spot Single Asset,BTC only
BRRR US,Spot Single Asset,BTC only
BTCO US,Spot Single Asset,BTC only
EZBC US,Spot Single Asset,BTC only
QETH US,Spot Single Asset,alt-coin only (ETH)
DEFI US,Spot Single Asset,BTC only
EZPZ US,Spot Multi-asset; passive,multi-token crypto
SSK US,Spot Single Asset,alt-coin only (SOL)
XRPR US,Spot Single Asset,alt-coin only (XRP)
GDLC US,Spot Multi-asset; passive,multi-token crypto
ETCG US,Spot Single Asset,alt-coin only (ETC)
OBTC US,Spot Single Asset,BTC only
ESK US,Spot Single Asset,alt-coin only (ETH)
FILG US,Spot Single Asset,alt-coin only (FIL)
GBAT US,Spot Single Asset,alt-coin only (BAT)
GLIV US,Spot Single Asset,alt-coin only (LPT)
GLNK US,Spot Single Asset,alt-coin only (LINK)
GSNR US,Spot Single Asset,alt-coin only (NEAR)
GSOL US,Spot Single Asset,alt-coin only (SOL)
BSOL US,Spot Single Asset,alt-coin only (SOL)
HBR US,Spot Single Asset,alt-coin only (HBAR)
LTCC US,Spot Single Asset,alt-coin only (LTC)
XRPC US,Spot Single Asset,alt-coin only (XRP)
XRP US,Spot Single Asset,alt-coin only (XRP)
TSOL US,Spot Single Asset,alt-coin only (SOL)
GXRP US,Spot Single Asset,alt-coin only (XRP)
XRPZ US,Spot Single Asset,alt-coin only (XRP)
FSOL US,Spot Single Asset,alt-coin only (SOL)
VSOL US,Spot Single Asset,alt-coin only (SOL)
GDOG US,Spot Single Asset,alt-coin only (DOGE)
SOLC US,Spot Single Asset,alt-coin only (SOL)
SOEZ US,Spot Single Asset,alt-coin only (SOL)
BWOW US,Spot Single Asset,alt-coin only (DOGE)
QSOL US,Spot Single Asset,alt-coin only (SOL)
TOXR US,Spot Single Asset,alt-coin only (XRP)
CLNK US,Spot Single Asset,alt-coin only (LINK)
VAVX US,Spot Single Asset,alt-coin only (AVAX)
BPRO US,Hybrid (spot/multi + derivatives),crypto + traditional asset
KRYP US,Spot Multi-asset; passive,multi-token crypto
TDOG US,Spot Single Asset,alt-coin only (DOGE)
GSUI US,Spot Single Asset,alt-coin only (SUI)
SUIS US,Spot Single Asset,alt-coin only (SUI)
BCOR US,Equity,BTC only
EEE US,Derivatives-based; futures-based,crypto + traditional asset
GLDB US,Derivatives-based; futures-based,crypto + traditional asset
SSS US,Derivatives-based; futures-based,crypto + traditional asset
TDOT US,Spot Single Asset,alt-coin only (DOT)
TSUI US,Spot Single Asset,alt-coin only (SUI)
XXX US,Derivatives-based; futures-based,crypto + traditional asset
