ticker,etp_category
AAPW US,CC
AAPY US,CC
ABNY US,CC
ACIO US,CC
ACKY US,CC
AIPI US,CC
AIYY US,CC
AMDU US,CC
AMDW US,CC
AMDY US,CC
AMYY US,CC
AMZP US,CC
AMZW US,CC
AMZY US,CC
APLY US,CC
ARMW US,CC
AVGW US,CC
AZYY US,CC
BABO US,CC
BABW US,CC
BAGY US,CC
BALI US,CC
BALQ US,CC
BBYY US,CC
BCCC US,CC
BIGY US,CC
BITK US,CC
BITY US,CC
BLOX US,CC
BNDY US,CC
BPI US,CC
BRKC US,CC
BRKW US,CC
BTCC US,CC
BTCI US,CC
BUCK US,CC
BUYW US,CC
BWVTF US,CC
CANQ US,CC
CEPI US,CC
CHPY US,CC
COII US,CC
COIW US,CC
CONY US,CC
COSW US,CC
COYY US,CC
CRCO US,CC
CRSH US,CC
CSHI US,CC
CVNY US,CC
CVRD US,CC
CWII US,CC
DFII US,CC
DIPS US,CC
DISO US,CC
DIVO US,CC
DJIA US,CC
DOGG US,CC
DRAY US,CC
DYLG US,CC
EDGE US,CC
EGGS US,CC
EGGY US,CC
EHY US,CC
ETCO US,CC
ETHI US,CC
ETTY US,CC
FBY US,CC
FBYY US,CC
FDND US,CC
FEAT US,CC
FEPI US,CC
FGSI US,CC
FIAT US,CC
FIVY US,CC
FTHI US,CC
FTKI US,CC
FTQI US,CC
GDXW US,CC
GDXY US,CC
GIF US,CC
GLDI US,CC
GLDW US,CC
GLDY US,CC
GMEY US,CC
GOOP US,CC
GOOW US,CC
GOOY US,CC
GPIQ US,CC
GPIX US,CC
GPTY US,CC
GTR US,CC
HBTA US,CC
HCOW US,CC
HEDG US,CC
HEMI US,CC
HEQT US,CC
HIMY US,CC
HIYY US,CC
HMYY US,CC
HOII US,CC
HOOI US,CC
HOOW US,CC
HOOY US,CC
HOYY US,CC
HYBI US,CC
HYGW US,CC
HYTI US,CC
ICOI US,CC
ICRC US,CC
IDVO US,CC
IETH US,CC
IGLD US,CC
IGME US,CC
IMRA US,CC
IMST US,CC
IOYY US,CC
IQQQ US,CC
ISPY US,CC
ITWO US,CC
IVVW US,CC
IWMI US,CC
IWMW US,CC
IWMY US,CC
IYRI US,CC
JEPI US,CC
JEPQ US,CC
JPMO US,CC
KGLD US,CC
KLIP US,CC
KNG US,CC
KQQQ US,CC
LFGY US,CC
LLII US,CC
LQDW US,CC
LQTI US,CC
LTTI US,CC
MAAY US,CC
MAGY US,CC
MARO US,CC
METW US,CC
MLPD US,CC
MLPI US,CC
MRNY US,CC
MSFO US,CC
MSFW US,CC
MSFY US,CC
MSII US,CC
MST US,CC
MSTK US,CC
MSTW US,CC
MSTY US,CC
MTYY US,CC
NBOS US,CC
NFLP US,CC
NFLW US,CC
NFLY US,CC
NIHI US,CC
NMB US,CC
NUGY US,CC
NVDW US,CC
NVDY US,CC
NVII US,CC
NVYY US,CC
OARK US,CC
PAPI US,CC
PBP US,CC
PLT US,CC
PLTI US,CC
PLTW US,CC
PLTY US,CC
PLYY US,CC
PVEX US,CC
PYPY US,CC
QBUL US,CC
QBY US,CC
QCLR US,CC
QDTE US,CC
QDTY US,CC
QDVO US,CC
QDWN US,CC
QLDY US,CC
QQQI US,CC
QQQT US,CC
QQQY US,CC
QRMI US,CC
QUP US,CC
QYLD US,CC
QYLG US,CC
RBLY US,CC
RDTE US,CC
RDTY US,CC
RDVI US,CC
RDYY US,CC
RGYY US,CC
RNTY US,CC
RTYY US,CC
RYLD US,CC
RYLG US,CC
SCEP US,CC
SCLZ US,CC
SDTY US,CC
SDVD US,CC
SEMY US,CC
SEPI US,CC
SIXH US,CC
SLJY US,CC
SLTY US,CC
SLVO US,CC
SMCC US,CC
SMCY US,CC
SMYY US,CC
SNOY US,CC
SOLM US,CC
SOXY US,CC
SPIN US,CC
SPUT US,CC
SPYH US,CC
SPYI US,CC
SPYT US,CC
SRHR US,CC
TCAL US,CC
TDAQ US,CC
TDVI US,CC
TESL US,CC
TLTP US,CC
TLTW US,CC
TLTX US,CC
TQQY US,CC
TSII US,CC
TSLP US,CC
TSLW US,CC
TSLY US,CC
TSMY US,CC
TSPY US,CC
TSYW US,CC
TSYY US,CC
TYA US,CC
TYLG US,CC
UBEW US,CC
ULTI US,CC
ULTY US,CC
UNHW US,CC
USG US,CC
USOI US,CC
USOY US,CC
VEGA US,CC
WDTE US,CC
WEEL US,CC
WMTI US,CC
WNTR US,CC
WPAY US,CC
WTPI US,CC
XBTY US,CC
XCLR US,CC
XDTE US,CC
XLBI US,CC
XLCI US,CC
XLEI US,CC
XLFI US,CC
XLII US,CC
XLKI US,CC
XLRI US,CC
XLSI US,CC
XLUI US,CC
XLVI US,CC
XLYI US,CC
XOMO US,CC
XRPM US,CC
XYLD US,CC
XYLG US,CC
XYZY US,CC
YBIT US,CC
YBMN US,CC
YBST US,CC
YBTC US,CC
YBTY US,CC
YETH US,CC
YGLD US,CC
YMAG US,CC
YMAX US,CC
YQQQ US,CC
YSPY US,CC
ACEI US,CC
ACII US,CC
CAIE US,CC
CAIQ US,CC
PAYH US,CC
PAYM US,CC
HAKY US,CC
NDIV US,CC
