#,Ticker,Sector,3x Score,2x AUM (),Mkt Cap (),2x Count,Risk
1,MU,Info Tech,96.4,1386.4,472444.0,2,MEDIUM
2,GOOGL,Comm Svcs,95.0,1129.5,3748542.0,2,LOW
3,META,Comm Svcs,94.7,683.0,1644295.0,2,LOW
4,AMZN,Cons Disc,92.4,386.0,2126466.0,2,LOW
5,ORCL,Info Tech,90.6,244.7,445206.0,2,MEDIUM
6,SMCI,Info Tech,90.0,244.9,18590.0,3,MEDIUM
7,RKLB,Industrials,88.9,169.5,37852.0,2,HIGH
8,INTC,Info Tech,88.8,163.9,235364.0,2,HIGH
9,IONQ,Info Tech,88.2,227.8,11380.0,3,HIGH
10,APP,Info Tech,87.9,147.3,125269.0,1,HIGH
11,BABA,Cons Disc,87.5,146.5,377449.0,2,MEDIUM
12,NBIS,Info Tech,86.0,128.1,22087.0,2,HIGH
13,BE,Industrials,83.2,54.9,39684.0,2,HIGH
14,SOFI,Financials,83.2,59.3,24495.0,1,MEDIUM
15,LLY,Health Care,82.9,53.8,971826.0,2,MEDIUM
16,NVO,Health Care,82.6,51.3,216244.0,1,MEDIUM
17,VRT,Industrials,67.8,37.4,95122.0,1,HIGH
18,RDDT,Comm Svcs,66.6,43.7,24810.0,1,MEDIUM
19,MRVL,Info Tech,65.5,43.9,68747.0,1,LOW
20,WDC,Info Tech,65.1,26.4,99748.0,1,HIGH
